NSNT_Delta_Pre,NSNT_Delta_Tele,NSNT_Delta_Post,NSNT_Theta_Pre,NSNT_Theta_Tele,NSNT_Theta_Post,NSNT_Alpha_Pre,NSNT_Alpha_Tele,NSNT_Alpha_Post,NSNT_Beta_Pre,NSNT_Beta_Tele,NSNT_Beta_Post,NSNT_Gamma_Pre,NSNT_Gamma_Tele,NSNT_Gamma_Post,NSFT_Delta_Pre,NSFT_Delta_Tele,NSFT_Delta_Post,NSFT_Theta_Pre,NSFT_Theta_Tele,NSFT_Theta_Post,NSFT_Alpha_Pre,NSFT_Alpha_Tele,NSFT_Alpha_Post,NSFT_Beta_Pre,NSFT_Beta_Tele,NSFT_Beta_Post,NSFT_Gamma_Pre,NSFT_Gamma_Tele,NSFT_Gamma_Post,FSNT_Delta_Pre,FSNT_Delta_Tele,FSNT_Delta_Post,FSNT_Theta_Pre,FSNT_Theta_Tele,FSNT_Theta_Post,FSNT_Alpha_Pre,FSNT_Alpha_Tele,FSNT_Alpha_Post,FSNT_Beta_Pre,FSNT_Beta_Tele,FSNT_Beta_Post,FSNT_Gamma_Pre,FSNT_Gamma_Tele,FSNT_Gamma_Post,FSFT_Delta_Pre,FSFT_Delta_Tele,FSFT_Delta_Post,FSFT_Theta_Pre,FSFT_Theta_Tele,FSFT_Theta_Post,FSFT_Alpha_Pre,FSFT_Alpha_Tele,FSFT_Alpha_Post,FSFT_Beta_Pre,FSFT_Beta_Tele,FSFT_Beta_Post,FSFT_Gamma_Pre,FSFT_Gamma_Tele,FSFT_Gamma_Post
0.011486,0.050749,0.024899,0.25506,0.26408,0.18487,0.29548,0.28211,0.21008,0.21557,0.2202,0.14874,0.06562,0.058787,0.081742,0.051931,0.039974,0.037884,0.3217,0.34508,0.19635,0.30181,0.322,0.28949,0.25389,0.22298,0.26013,0.066016,0.086384,0.11879,0.059746,0.028887,0.017094,0.24378,0.32567,0.13141,0.4289,0.33982,0.17685,0.28965,0.26945,0.4187,0.075632,0.069899,0.053956,0.06972,0.057155,0.021703,0.32381,0.25971,0.34483,0.15403,0.307,0.36086,0.34494,0.22104,0.41614,0.056388,0.098851,0.15755
0.074234,0.08136,0.122,0.44618,0.38395,0.41317,0.29918,0.26181,0.29272,0.2442,0.21831,0.19216,0.10987,0.10512,0.068627,0.066016,0.092362,0.037037,0.31709,0.31681,0.33973,0.24346,0.29283,0.22467,0.29533,0.29217,0.10065,0.10554,0.11501,0.075659,0.044763,0.046111,0.041478,0.33457,0.36663,0.29657,0.15843,0.21162,0.14555,0.20583,0.22854,0.42489,0.10624,0.12266,0.14713,0.13048,0.057326,0.05036,0.32195,0.31502,0.34238,0.30833,0.093777,0.14404,0.2753,0.18869,0.17391,0.099241,0.11599,0.073632
0.050952,0.057156,0.071273,0.39422,0.28045,0.36275,0.21652,0.217,0.27941,0.17274,0.14831,0.13361,0.1111,0.1125,0.13649,0.062988,0.06584,0,0.32964,0.24711,0.33796,0.12432,0.21822,0.1171,0.16814,0.2135,0.22516,0.13263,0.12827,0.057784,0.04498,0.031051,0.025641,0.28255,0.28014,0.21757,0.095553,0.1382,0.15573,0.22476,0.20364,0.3908,0.12083,0.13796,0.1267,0.022052,0.045096,0.066449,0.29935,0.27831,0.51923,0.15892,0.12495,0.070136,0.19151,0.19718,0.15385,0.10616,0.11851,0.098245
0.025794,0.049214,0.095238,0.27591,0.29399,0.28361,0.33524,0.24534,0.26541,0.12882,0.11393,0.098599,0.099952,0.10137,0.11497,0.049143,0.038182,0.04321,0.12639,0.21072,0.14583,0.17432,0.13392,0.1939,0.099238,0.1322,0.18682,0.082076,0.10483,0.071747,0.018304,0.033577,0.021368,0.22493,0.31192,0.17854,0.12158,0.21394,0.43477,0.13736,0.12114,0.14359,0.096359,0.11338,0.11209,0.14259,0.031266,0.029915,0.21548,0.1462,0.22059,0.40813,0.14879,0.08371,0.10407,0.11442,0.14932,0.080242,0.10027,0.21788
0.037094,0.050064,0.09944,0.24421,0.32711,0.24895,0.22008,0.22225,0.20238,0.17104,0.14751,0.093557,0.094549,0.10481,0.086071,0.055946,0.042472,0.037037,0.17102,0.24185,0.30392,0.19692,0.1404,0.13426,0.1591,0.23148,0.19488,0.108,0.10782,0.042583,0.02706,0.034129,0.021368,0.27071,0.30001,0.14612,0.15411,0.21293,0.34238,0.13278,0.20908,0.19653,0.12387,0.10355,0.12546,0.1505,0.036331,0.032428,0.17535,0.19637,0.37293,0.25008,0.10075,0.058069,0.2143,0.17267,0.31357,0.073454,0.089919,0.14514
0.050611,0.041502,0.092904,0.2402,0.25798,0.24265,0.20989,0.21138,0.18347,0.18184,0.13032,0.16723,0.092837,0.096645,0.10453,0.040321,0.028758,0.036916,0.23918,0.2276,0.13739,0.26528,0.14677,0.11166,0.15986,0.14469,0.17756,0.10948,0.10047,0.079372,0.034272,0.031063,0.013491,0.40435,0.36609,0.29808,0.25334,0.26719,0.39291,0.17249,0.25554,0.11946,0.11571,0.12834,0.072261,0.12851,0.027064,0.025641,0.21105,0.24063,0.44551,0.14832,0.11812,0.11011,0.2123,0.15793,0.16697,0.070524,0.09123,0.20931
0.062795,0.10475,0.068633,0.42446,0.44584,0.4856,0.36412,0.3826,0.50447,0.49406,0.53937,0.51742,0.23176,0.24775,0.26758,0.098177,0.090408,0.096673,0.50042,0.47488,0.4422,0.34336,0.35578,0.34742,0.42885,0.53528,0.52141,0.22499,0.24086,0.25041,0.10283,0.094202,0.10154,0.52176,0.49494,0.51097,0.45982,0.39389,0.56619,0.4524,0.47621,0.54163,0.22338,0.23519,0.25978,0.09959,0.11588,0.087568,0.51975,0.40509,0.38125,0.34153,0.38238,0.43106,0.48789,0.52157,0.43085,0.22726,0.24259,0.20888
0.062205,0.091774,0.059376,0.43719,0.46871,0.5441,0.55469,0.53764,0.5759,0.4832,0.53778,0.5414,0.22712,0.23384,0.24504,0.076288,0.079573,0.082902,0.53675,0.49975,0.51243,0.37018,0.45753,0.48911,0.41995,0.49417,0.44162,0.21153,0.21391,0.2273,0.10587,0.084824,0.066924,0.60107,0.56322,0.55092,0.45878,0.52447,0.56458,0.50533,0.47705,0.53304,0.21265,0.21877,0.22701,0.077375,0.10019,0.04671,0.54244,0.49754,0.38961,0.41033,0.54269,0.4976,0.51143,0.51863,0.43562,0.20124,0.22547,0.18331
0.040272,0.053484,0.033765,0.1837,0.13406,0.24755,0.37493,0.35929,0.4508,0.6111,0.59739,0.60445,0.32119,0.30975,0.33593,0.059534,0.069071,0.095992,0.19072,0.20885,0.25085,0.36842,0.35258,0.44697,0.50208,0.54595,0.55204,0.25674,0.2672,0.27062,0.042814,0.05162,0.035675,0.11789,0.13991,0.23829,0.46254,0.40751,0.49161,0.60039,0.55986,0.58938,0.2868,0.29481,0.29793,0.06031,0.041241,0.039811,0.16295,0.18165,0.20521,0.38059,0.36266,0.35616,0.56009,0.54484,0.50119,0.28997,0.2599,0.30142
0.064701,0.035183,0.072873,0.29328,0.22055,0.30354,0.34738,0.33455,0.53138,0.39941,0.44478,0.55412,0.18999,0.20914,0.22563,0.052025,0.064697,0.022962,0.29313,0.25017,0.23255,0.28652,0.39454,0.34247,0.51221,0.47854,0.47911,0.18887,0.20185,0.22403,0.044302,0.028359,0.045616,0.29116,0.30402,0.26684,0.33161,0.36089,0.37224,0.43237,0.46934,0.49181,0.21417,0.21067,0.24138,0.043817,0.044603,0.077803,0.32919,0.3384,0.35594,0.35902,0.39616,0.41816,0.40188,0.45339,0.46963,0.20335,0.19489,0.19603
