3,NSFT,Theta,Tele,0.23082
3,NSFT,Theta,Post,0.32069
3,NSFT,Alpha,Pre,0.46753
3,NSFT,Alpha,Tele,0.50996
3,NSFT,Alpha,Post,0.50938
3,NSFT,Beta,Pre,0.54489
3,NSFT,Beta,Tele,0.57114
3,NSFT,Beta,Post,0.62792
3,NSFT,Gamma,Pre,0.23591
3,NSFT,Gamma,Tele,0.2184
3,NSFT,Gamma,Post,0.23331
3,FSNT,Delta,Pre,0.0056424
3,FSNT,Delta,Tele,0.025394
3,FSNT,Delta,Post,0.05075
3,FSNT,Theta,Pre,0.11761
3,FSNT,Theta,Tele,0.14932
3,FSNT,Theta,Post,0.25616
3,FSNT,Alpha,Pre,0.43073
3,FSNT,Alpha,Tele,0.38211
3,FSNT,Alpha,Post,0.52746
3,FSNT,Beta,Pre,0.50365
3,FSNT,Beta,Tele,0.50628
3,FSNT,Beta,Post,0.56264
3,FSNT,Gamma,Pre,0.21254
3,FSNT,Gamma,Tele,0.22018
3,FSNT,Gamma,Post,0.20171
3,FSFT,Delta,Pre,0.0085901
3,FSFT,Delta,Tele,0.009611
3,FSFT,Delta,Post,0.0049105
3,FSFT,Theta,Pre,0.13481
3,FSFT,Theta,Tele,0.16399
3,FSFT,Theta,Post,0.16198
3,FSFT,Alpha,Pre,0.34399
3,FSFT,Alpha,Tele,0.35748
3,FSFT,Alpha,Post,0.33676
3,FSFT,Beta,Pre,0.53109
3,FSFT,Beta,Tele,0.52759
3,FSFT,Beta,Post,0.44374
3,FSFT,Gamma,Pre,0.21662
3,FSFT,Gamma,Tele,0.2026
3,FSFT,Gamma,Post,0.21316
4,NSNT,Delta,Pre,0.035767
4,NSNT,Delta,Tele,0.055397
4,NSNT,Delta,Post,0.042686
4,NSNT,Theta,Pre,0.055634
4,NSNT,Theta,Tele,0.13352
4,NSNT,Theta,Post,0.099682
4,NSNT,Alpha,Pre,0.16888
4,NSNT,Alpha,Tele,0.24646
4,NSNT,Alpha,Post,0.20664
4,NSNT,Beta,Pre,0.24666
4,NSNT,Beta,Tele,0.28809
4,NSNT,Beta,Post,0.25416
4,NSNT,Gamma,Pre,0.11383
4,NSNT,Gamma,Tele,0.139
4,NSNT,Gamma,Post,0.14695
4,NSFT,Delta,Pre,0.029532
4,NSFT,Delta,Tele,0.044704
4,NSFT,Delta,Post,0.022831
4,NSFT,Theta,Pre,0.10856
4,NSFT,Theta,Tele,0.12005
4,NSFT,Theta,Post,0.06303
4,NSFT,Alpha,Pre,0.20402
4,NSFT,Alpha,Tele,0.18267
4,NSFT,Alpha,Post,0.15183
4,NSFT,Beta,Pre,0.30335
4,NSFT,Beta,Tele,0.28151
4,NSFT,Beta,Post,0.28601
4,NSFT,Gamma,Pre,0.13272
4,NSFT,Gamma,Tele,0.14006
4,NSFT,Gamma,Post,0.13135
4,FSNT,Delta,Pre,0.030454
4,FSNT,Delta,Tele,0.039319
4,FSNT,Delta,Post,0.048025
4,FSNT,Theta,Pre,0.040527
4,FSNT,Theta,Tele,0.074816
4,FSNT,Theta,Post,0.11018
4,FSNT,Alpha,Pre,0.17109
4,FSNT,Alpha,Tele,0.1035
4,FSNT,Alpha,Post,0.13777
4,FSNT,Beta,Pre,0.25036
4,FSNT,Beta,Tele,0.27932
4,FSNT,Beta,Post,0.27851
