Electrode,TrialType,FreqBand,TimePoint,Power
5,NSFT,gammaBand,Tele,0.0068634
1,NSFT,deltaBand,Post,1479775.7014
1,NSFT,thetaBand,Post,2661.1176
1,NSFT,alphaBand,Post,65.2328
1,NSFT,betaBand,Post,1.3724
1,NSFT,gammaBand,Post,0.0012911
2,NSFT,deltaBand,Post,1479019.1592
2,NSFT,thetaBand,Post,2948.8578
2,NSFT,alphaBand,Post,76.4165
2,NSFT,betaBand,Post,1.7726
2,NSFT,gammaBand,Post,0.0013673
3,NSFT,deltaBand,Post,4161705.5225
3,NSFT,thetaBand,Post,2834.6853
3,NSFT,alphaBand,Post,133.3233
3,NSFT,betaBand,Post,6.2659
3,NSFT,gammaBand,Post,0.0051474
4,NSFT,deltaBand,Post,18891561.9087
4,NSFT,thetaBand,Post,2399.7777
4,NSFT,alphaBand,Post,30.6038
4,NSFT,betaBand,Post,1.32
4,NSFT,gammaBand,Post,0.00085771
5,NSFT,deltaBand,Post,7075228.4668
5,NSFT,thetaBand,Post,5016.3975
5,NSFT,alphaBand,Post,91.3463
5,NSFT,betaBand,Post,4.6048
5,NSFT,gammaBand,Post,0.0055025
1,FSNT,deltaBand,Pre,2119010.5383
1,FSNT,thetaBand,Pre,3118.2237
1,FSNT,alphaBand,Pre,72.5533
1,FSNT,betaBand,Pre,1.4983
1,FSNT,gammaBand,Pre,0.0012717
2,FSNT,deltaBand,Pre,2162420.6559
2,FSNT,thetaBand,Pre,3295.1556
2,FSNT,alphaBand,Pre,85.3635
2,FSNT,betaBand,Pre,1.8863
2,FSNT,gammaBand,Pre,0.0013968
3,FSNT,deltaBand,Pre,1831564.929
3,FSNT,thetaBand,Pre,1432.4322
3,FSNT,alphaBand,Pre,70.819
3,FSNT,betaBand,Pre,3.3697
3,FSNT,gammaBand,Pre,0.0038246
4,FSNT,deltaBand,Pre,23930675.0283
4,FSNT,thetaBand,Pre,2462.5449
4,FSNT,alphaBand,Pre,35.0105
4,FSNT,betaBand,Pre,1.1509
4,FSNT,gammaBand,Pre,0.00077253
5,FSNT,deltaBand,Pre,4656950.5527
5,FSNT,thetaBand,Pre,3547.8502
5,FSNT,alphaBand,Pre,84.7856
5,FSNT,betaBand,Pre,4.054
5,FSNT,gammaBand,Pre,0.0056769
1,FSNT,deltaBand,Tele,2285408.0326
1,FSNT,thetaBand,Tele,2938.8674
1,FSNT,alphaBand,Tele,70.5902
1,FSNT,betaBand,Tele,1.7448
1,FSNT,gammaBand,Tele,0.0013069
2,FSNT,deltaBand,Tele,2510429.7392
2,FSNT,thetaBand,Tele,3159.6612
2,FSNT,alphaBand,Tele,75.6427
2,FSNT,betaBand,Tele,2.3594
2,FSNT,gammaBand,Tele,0.0015404
3,FSNT,deltaBand,Tele,1882888.7403
3,FSNT,thetaBand,Tele,1916.7814
3,FSNT,alphaBand,Tele,72.1122
3,FSNT,betaBand,Tele,4.3815
3,FSNT,gammaBand,Tele,0.0041471
4,FSNT,deltaBand,Tele,23900954.3257
4,FSNT,thetaBand,Tele,2446.6506
4,FSNT,alphaBand,Tele,37.7507
4,FSNT,betaBand,Tele,1.3848
4,FSNT,gammaBand,Tele,0.00090262
5,FSNT,deltaBand,Tele,6557600.1133
5,FSNT,thetaBand,Tele,4940.4991
5,FSNT,alphaBand,Tele,81.6259
5,FSNT,betaBand,Tele,4.3581
5,FSNT,gammaBand,Tele,0.0056797
1,FSNT,deltaBand,Post,2812426.6017
1,FSNT,thetaBand,Post,2523.6598
1,FSNT,alphaBand,Post,63.0862
1,FSNT,betaBand,Post,1.4224
1,FSNT,gammaBand,Post,0.0014259
2,FSNT,deltaBand,Post,3091182.6612
2,FSNT,thetaBand,Post,2802.5874
2,FSNT,alphaBand,Post,70.1987
2,FSNT,betaBand,Post,1.6998
2,FSNT,gammaBand,Post,0.0014991
3,FSNT,deltaBand,Post,2017924.58
3,FSNT,thetaBand,Post,1362.4842
3,FSNT,alphaBand,Post,67.1312
3,FSNT,betaBand,Post,3.9488
3,FSNT,gammaBand,Post,0.0037182
4,FSNT,deltaBand,Post,25693069.3874
4,FSNT,thetaBand,Post,2582.5755
4,FSNT,alphaBand,Post,30.9379
4,FSNT,betaBand,Post,1.3606
4,FSNT,gammaBand,Post,0.00092891
5,FSNT,deltaBand,Post,8590170.0533
5,FSNT,thetaBand,Post,4762.1827
5,FSNT,alphaBand,Post,99.3655
5,FSNT,betaBand,Post,5.6864
5,FSNT,gammaBand,Post,0.0054514
1,FSFT,deltaBand,Pre,4471114.0075
1,FSFT,thetaBand,Pre,8138.0448
1,FSFT,alphaBand,Pre,99.3771
1,FSFT,betaBand,Pre,2.2567
1,FSFT,gammaBand,Pre,0.001759
2,FSFT,deltaBand,Pre,4577583.4319
2,FSFT,thetaBand,Pre,8466.7371
2,FSFT,alphaBand,Pre,101.1606
2,FSFT,betaBand,Pre,2.4601
2,FSFT,gammaBand,Pre,0.0021449
3,FSFT,deltaBand,Pre,1756449.2929
3,FSFT,thetaBand,Pre,1759.7252
3,FSFT,alphaBand,Pre,59.9939
3,FSFT,betaBand,Pre,3.8781
3,FSFT,gammaBand,Pre,0.0041189
4,FSFT,deltaBand,Pre,30375663.3419
4,FSFT,thetaBand,Pre,2688.0703
4,FSFT,alphaBand,Pre,34.2584
4,FSFT,betaBand,Pre,1.1538
4,FSFT,gammaBand,Pre,0.00083339
5,FSFT,deltaBand,Pre,5598701.8843
5,FSFT,thetaBand,Pre,5368.9948
5,FSFT,alphaBand,Pre,77.5291
5,FSFT,betaBand,Pre,3.957
5,FSFT,gammaBand,Pre,0.0053182
1,FSFT,deltaBand,Tele,2468174.0553
1,FSFT,thetaBand,Tele,3485.3939
1,FSFT,alphaBand,Tele,70.9649
1,FSFT,betaBand,Tele,1.8087
1,FSFT,gammaBand,Tele,0.0014208
2,FSFT,deltaBand,Tele,2883162.303
2,FSFT,thetaBand,Tele,3652.6955
2,FSFT,alphaBand,Tele,80.6031
2,FSFT,betaBand,Tele,2.3735
2,FSFT,gammaBand,Tele,0.0018169
3,FSFT,deltaBand,Tele,2622499.1918
3,FSFT,thetaBand,Tele,1915.0983
3,FSFT,alphaBand,Tele,73.0918
3,FSFT,betaBand,Tele,5.0491
3,FSFT,gammaBand,Tele,0.0045075
4,FSFT,deltaBand,Tele,25067525.2288
4,FSFT,thetaBand,Tele,2228.5385
4,FSFT,alphaBand,Tele,37.4971
4,FSFT,betaBand,Tele,1.4731
4,FSFT,gammaBand,Tele,0.0010573
5,FSFT,deltaBand,Tele,11263544.7432
5,FSFT,thetaBand,Tele,6039.0908
5,FSFT,alphaBand,Tele,175.7379
5,FSFT,betaBand,Tele,9.4678
5,FSFT,gammaBand,Tele,0.010595
1,FSFT,deltaBand,Post,2671134.6087
1,FSFT,thetaBand,Post,3689.1667
1,FSFT,alphaBand,Post,94.1478
1,FSFT,betaBand,Post,2.2855
1,FSFT,gammaBand,Post,0.0017194
2,FSFT,deltaBand,Post,2932849.1227
2,FSFT,thetaBand,Post,4039.0096
2,FSFT,alphaBand,Post,123.6775
2,FSFT,betaBand,Post,3.1047
2,FSFT,gammaBand,Post,0.0021116
3,FSFT,deltaBand,Post,2691189.3934
3,FSFT,thetaBand,Post,1406.8322
3,FSFT,alphaBand,Post,75.8824
3,FSFT,betaBand,Post,3.4221
3,FSFT,gammaBand,Post,0.0040439
4,FSFT,deltaBand,Post,24464857.7314
4,FSFT,thetaBand,Post,2275.5642
4,FSFT,alphaBand,Post,33.7089
4,FSFT,betaBand,Post,1.1398
4,FSFT,gammaBand,Post,0.00085078
5,FSFT,deltaBand,Post,9552688.2832
5,FSFT,thetaBand,Post,4298.9863
5,FSFT,alphaBand,Post,81.6644
5,FSFT,betaBand,Post,4.6485
5,FSFT,gammaBand,Post,0.0059197
6,NSNT,deltaBand,Pre,5925362.8316
6,NSNT,thetaBand,Pre,22488.1387
6,NSNT,alphaBand,Pre,370.8648
6,NSNT,betaBand,Pre,10.8243
6,NSNT,gammaBand,Pre,0.01537
7,NSNT,deltaBand,Pre,3751971.0524
7,NSNT,thetaBand,Pre,9961.7375
7,NSNT,alphaBand,Pre,167.0502
7,NSNT,betaBand,Pre,5.431
7,NSNT,gammaBand,Pre,0.011261
8,NSNT,deltaBand,Pre,9702487.2109
8,NSNT,thetaBand,Pre,9390.0915
8,NSNT,alphaBand,Pre,249.4838
8,NSNT,betaBand,Pre,7.3664
8,NSNT,gammaBand,Pre,0.0092227
9,NSNT,deltaBand,Pre,9345996.6565
9,NSNT,thetaBand,Pre,11337.8209
9,NSNT,alphaBand,Pre,224.5314
9,NSNT,betaBand,Pre,6.9683
9,NSNT,gammaBand,Pre,0.011222
10,NSNT,deltaBand,Pre,2925868.0578
10,NSNT,thetaBand,Pre,4040.8597
10,NSNT,alphaBand,Pre,80.4688
10,NSNT,betaBand,Pre,3.124
